customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_calls,number_of_logins,usage_hours,churn
CUST-00001,6,330.49,2233.71,One Year,Fiber Optic,Credit Card,1,29.0,69.4,0
CUST-00002,56,914.71,51589.96,Month-to-Month,No,Bank Transfer,10,24.0,84.2,0
CUST-00003,47,1155.45,54400.26,Month-to-Month,DSL,Credit Card,5,33.0,196.9,0
CUST-00004,32,1046.24,33701.58,Two Year,Fiber Optic,Electronic Check,10,2.0,16.8,1
CUST-00005,31,549.48,17300.15,One Year,DSL,Mailed Check,4,31.0,22.3,0
CUST-00006,62,347.99,21943.16,Month-to-Month,Fiber Optic,Electronic Check,9,23.0,87.1,0
CUST-00007,6,1146.32,7360.15,One Year,Fiber Optic,Bank Transfer,3,1.0,33.8,1
CUST-00008,50,1143.36,57592.14,Month-to-Month,DSL,Bank Transfer,4,40.0,137.0,0
CUST-00009,14,779.17,11219.14,Two Year,Fiber Optic,Mailed Check,3,7.0,72.1,0
CUST-00010,6,878.09,5560.36,One Year,DSL,Mailed Check,6,30.0,169.2,1
CUST-00011,38,716.34,27522.51,Month-to-Month,Fiber Optic,Bank Transfer,2,43.0,,0
CUST-00012,71,677.79,48395.68,Month-to-Month,DSL,Credit Card,5,46.0,94.2,0
CUST-00013,53,407.5,21627.18,Month-to-Month,Fiber Optic,Mailed Check,9,32.0,169.0,0
CUST-00014,55,387.08,21638.55,One Year,DSL,Mailed Check,1,36.0,20.2,0
CUST-00015,52,509.46,26850.09,Month-to-Month,Fiber Optic,Electronic Check,8,29.0,116.2,0
CUST-00016,57,1052.98,60276.1,One Year,DSL,Credit Card,9,39.0,121.0,0
CUST-00017,37,431.25,16391.44,Month-to-Month,Fiber Optic,Credit Card,0,49.0,49.2,0
CUST-00018,9,504.03,4872.49,Month-to-Month,DSL,Bank Transfer,7,23.0,9.9,1
CUST-00019,61,793.75,48600.08,Month-to-Month,DSL,Credit Card,5,21.0,107.0,0
CUST-00020,32,493.62,15805.69,Month-to-Month,Fiber Optic,Credit Card,7,8.0,102.7,1
CUST-00021,36,446.89,16117.62,Month-to-Month,Fiber Optic,Credit Card,3,49.0,,0
CUST-00022,27,806.98,21964.36,One Year,Fiber Optic,Mailed Check,2,46.0,,0
CUST-00023,13,631.28,8437.69,Two Year,Fiber Optic,Electronic Check,3,36.0,35.9,0
CUST-00024,67,863.54,57940.62,Month-to-Month,Fiber Optic,Credit Card,1,33.0,195.6,0
CUST-00025,57,1120.98,63990.52,One Year,No,Electronic Check,4,10.0,22.7,0
CUST-00026,47,435.89,20601.94,Month-to-Month,Fiber Optic,Mailed Check,9,46.0,199.9,0
CUST-00027,29,1122.09,32930.87,One Year,No,Bank Transfer,8,2.0,144.0,1
CUST-00028,60,1112.24,67120.04,Month-to-Month,No,Credit Card,1,31.0,125.9,0
CUST-00029,39,1046.18,40992.49,One Year,Fiber Optic,Bank Transfer,6,12.0,68.0,0
CUST-00030,32,868.16,27867.3,Month-to-Month,DSL,Mailed Check,0,23.0,173.6,0
CUST-00031,32,858.13,27515.61,Month-to-Month,Fiber Optic,Credit Card,0,4.0,,0
CUST-00032,16,875.29,14048.2,One Year,Fiber Optic,Electronic Check,6,6.0,144.4,0
